Land;Landskode;2delt verden;Verdensdel
Polen;131;EU/EÃ˜S, USA, Canada, Australia og New Zealand;EU/EÃ˜S
Portugal;132;EU/EÃ˜S, USA, Canada, Australia og New Zealand;EU/EÃ˜S
Romania;133;EU/EÃ˜S, USA, Canada, Australia og New Zealand;EU/EÃ˜S
San Marino;134;EU/EÃ˜S, USA, Canada, Australia og New Zealand;EU/EÃ˜S
Litauen;136;EU/EÃ˜S, USA, Canada, Australia og New Zealand;EU/EÃ˜S
Spania;137;EU/EÃ˜S, USA, Canada, Australia og New Zealand;EU/EÃ˜S
Moldova;138;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;Europeiske land utenom EU
Storbritannia;139;EU/EÃ˜S, USA, Canada, Australia og New Zealand;Europeiske land utenom EU
Russland;140;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;Europeiske land utenom EU
Sveits;141;EU/EÃ˜S, USA, Canada, Australia og New Zealand;EU/EÃ˜S
Tyrkia;143;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;Asia med Tyrkia
Tyskland;144;EU/EÃ˜S, USA, Canada, Australia og New Zealand;EU/EÃ˜S
Slovenia;146;EU/EÃ˜S, USA, Canada, Australia og New Zealand;EU/EÃ˜S
Ukraina;148;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;Europeiske land utenom EU
Ungarn;152;EU/EÃ˜S, USA, Canada, Australia og New Zealand;EU/EÃ˜S
Ã˜sterrike;153;EU/EÃ˜S, USA, Canada, Australia og New Zealand;EU/EÃ˜S
Vatikanstaten;154;EU/EÃ˜S, USA, Canada, Australia og New Zealand;EU/EÃ˜S
Bosnia-Hercegovina;155;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;Europeiske land utenom EU
Nord-Makedonia;156;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;Europeiske land utenom EU
Slovakia;157;EU/EÃ˜S, USA, Canada, Australia og New Zealand;EU/EÃ˜S
Tsjekkia;158;EU/EÃ˜S, USA, Canada, Australia og New Zealand;EU/EÃ˜S
Serbia;159;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;Europeiske land utenom EU
Montenegro;160;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;Europeiske land utenom EU
Kosovo;161;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;Europeiske land utenom EU
Guernsey;162;EU/EÃ˜S, USA, Canada, Australia og New Zealand;Europeiske land utenom EU
Jersey;163;EU/EÃ˜S, USA, Canada, Australia og New Zealand;Europeiske land utenom EU
Man;164;EU/EÃ˜S, USA, Canada, Australia og New Zealand;Europeiske land utenom EU
Algerie;203;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;Afrika
Angola;204;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;Afrika
Botswana;205;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;Afrika
St. Helena;209;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;Afrika
Det britiske territoriet i Indiahavet;213;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;Afrika
Burundi;216;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;Afrika
Komorene;220;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;Afrika
Benin;229;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;Afrika
Ekvatorial-Guinea;235;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;Afrika
Elfenbeinskysten;239;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;Afrika
Eritrea;241;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;Afrika
Etiopia;246;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;Afrika
Egypt;249;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;Afrika
Djibouti;250;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;Afrika
Gabon;254;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;Afrika
Gambia;256;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;Afrika
Ghana;260;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;Afrika
Guinea;264;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;Afrika
Guinea-Bissau;266;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;Afrika
Kamerun;270;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;Afrika
Kapp Verde;273;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;Afrika
Kenya;276;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;Afrika
Kongo-Brazzaville;278;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;Afrika
Kongo;279;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;Afrika
Lesotho;281;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;Afrika
Liberia;283;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;Afrika
Libya;286;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;Afrika
Madagaskar;289;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;Afrika
Malawi;296;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;Afrika
Mali;299;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;Afrika
Marokko;303;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;Afrika
Vest-Sahara;304;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;Afrika
Mauritania;306;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;Afrika
Mauritius;307;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;Afrika
Namibia;308;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;Afrika
Niger;309;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;Afrika
Nigeria;313;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;Afrika
Mosambik;319;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;Afrika
Mayotte;322;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;Afrika
RÃ©union;323;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;Afrika
Zimbabwe;326;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;Afrika
Rwanda;329;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;Afrika
SÃ£o TomÃ© og PrÃ­ncipe;333;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;Afrika
Senegal;336;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;Afrika
Den sentralafrikanske republikk;337;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;Afrika
Seychellene;338;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;Afrika
Sierra Leone;339;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;Afrika
Somalia;346;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;Afrika
SÃ¸r-Sudan;355;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;Afrika
Sudan;356;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;Afrika
Eswatini;357;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;Afrika
SÃ¸r-Afrika;359;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;Afrika
Tanzania;369;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;Afrika
Tsjad;373;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;Afrika
Togo;376;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;Afrika
Tunisia;379;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;Afrika
Uganda;386;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;Afrika
Zambia;389;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;Afrika
Burkina Faso;393;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;Afrika
Afghanistan;404;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;Asia med Tyrkia
Armenia;406;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;Asia med Tyrkia
Aserbajdsjan;407;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;Asia med Tyrkia
Bahrain;409;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;Asia med Tyrkia
Bangladesh;410;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;Asia med Tyrkia
Bhutan;412;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;Asia med Tyrkia
Brunei;416;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;Asia med Tyrkia
Myanmar;420;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;Asia med Tyrkia
Sri Lanka;424;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;Asia med Tyrkia
De forente arabiske emirater;426;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;Asia med Tyrkia
Filippinene;428;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;Asia med Tyrkia
Georgia;430;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;Asia med Tyrkia
Taiwan;432;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;Asia med Tyrkia
Hongkong;436;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;Asia med Tyrkia
India;444;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;Asia med Tyrkia
Indonesia;448;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;Asia med Tyrkia
Irak;452;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;Asia med Tyrkia
Iran;456;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;Asia med Tyrkia
Israel;460;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;Asia med Tyrkia
Japan;464;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;Asia med Tyrkia
Jordan;476;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;Asia med Tyrkia
Kambodsja;478;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;Asia med Tyrkia
Kasakhstan;480;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;Asia med Tyrkia
Kina;484;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;Asia med Tyrkia
Nord-Korea;488;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;Asia med Tyrkia
SÃ¸r-Korea;492;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;Asia med Tyrkia
Kuwait;496;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;Asia med Tyrkia
Kypros;500;EU/EÃ˜S, USA, Canada, Australia og New Zealand;Asia med Tyrkia
Kirgisistan;502;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;Asia med Tyrkia
Laos;504;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;Asia med Tyrkia
Libanon;508;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;Asia med Tyrkia
Macao;510;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;Asia med Tyrkia
Malaysia;512;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;Asia med Tyrkia
Maldivene;513;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;Asia med Tyrkia
Mongolia;516;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;Asia med Tyrkia
Oman;520;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;Asia med Tyrkia
Palestina;524;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;Asia med Tyrkia
Nepal;528;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;Asia med Tyrkia
Pakistan;534;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;Asia med Tyrkia
Ã˜st-Timor;537;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;Asia med Tyrkia
Qatar;540;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;Asia med Tyrkia
Saudi-Arabia;544;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;Asia med Tyrkia
Singapore;548;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;Asia med Tyrkia
Tadsjikistan;550;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;Asia med Tyrkia
Turkmenistan;552;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;Asia med Tyrkia
Usbekistan;554;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;Asia med Tyrkia
Syria;564;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;Asia med Tyrkia
Thailand;568;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;Asia med Tyrkia
Vietnam;575;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;Asia med Tyrkia
Jemen;578;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;Asia med Tyrkia
De amerikanske JomfruÃ¸yene;601;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;SÃ¸r- og Mellom-Amerika
Barbados;602;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;SÃ¸r- og Mellom-Amerika
Antigua og Barbuda;603;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;SÃ¸r- og Mellom-Amerika
Belize;604;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;SÃ¸r- og Mellom-Amerika
Bahamas;605;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;SÃ¸r- og Mellom-Amerika
Bermuda;606;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;SÃ¸r- og Mellom-Amerika
De britiske JomfruÃ¸yene;608;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;SÃ¸r- og Mellom-Amerika
Canada;612;EU/EÃ˜S, USA, Canada, Australia og New Zealand;Nord-Amerika
CaymanÃ¸yene;613;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;SÃ¸r- og Mellom-Amerika
Costa Rica;616;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;SÃ¸r- og Mellom-Amerika
Cuba;620;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;SÃ¸r- og Mellom-Amerika
Dominica;622;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;SÃ¸r- og Mellom-Amerika
Den dominikanske republikk;624;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;SÃ¸r- og Mellom-Amerika
Grenada;629;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;SÃ¸r- og Mellom-Amerika
Guadeloupe;631;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;SÃ¸r- og Mellom-Amerika
Guatemala;632;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;SÃ¸r- og Mellom-Amerika
Haiti;636;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;SÃ¸r- og Mellom-Amerika
Honduras;644;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;SÃ¸r- og Mellom-Amerika
Jamaica;648;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;SÃ¸r- og Mellom-Amerika
Martinique;650;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;SÃ¸r- og Mellom-Amerika
Mexico;652;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;SÃ¸r- og Mellom-Amerika
Montserrat;654;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;SÃ¸r- og Mellom-Amerika
Aruba;657;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;SÃ¸r- og Mellom-Amerika
Sint Maarten;658;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;SÃ¸r- og Mellom-Amerika
Bonaire, Sint Eustatius og Saba;659;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;SÃ¸r- og Mellom-Amerika
Anguilla;660;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;SÃ¸r- og Mellom-Amerika
CuraÃ§ao;661;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;SÃ¸r- og Mellom-Amerika
Nicaragua;664;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;SÃ¸r- og Mellom-Amerika
Panama;668;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;SÃ¸r- og Mellom-Amerika
El Salvador;672;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;SÃ¸r- og Mellom-Amerika
Saint-Pierre-et-Miquelon;676;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;SÃ¸r- og Mellom-Amerika
Saint Kitts og Nevis;677;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;SÃ¸r- og Mellom-Amerika
Saint Lucia;678;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;SÃ¸r- og Mellom-Amerika
Saint Vincent og Grenadinene;679;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;SÃ¸r- og Mellom-Amerika
Trinidad og Tobago;680;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;SÃ¸r- og Mellom-Amerika
Turks- og CaicosÃ¸yene;681;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;SÃ¸r- og Mellom-Amerika
USA;684;EU/EÃ˜S, USA, Canada, Australia og New Zealand;Nord-Amerika
Puerto Rico;685;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;SÃ¸r- og Mellom-Amerika
Saint-Martin;686;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;SÃ¸r- og Mellom-Amerika
Saint-BarthÃ©lemy;687;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;SÃ¸r- og Mellom-Amerika
Argentina;705;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;SÃ¸r- og Mellom-Amerika
Bolivia;710;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;SÃ¸r- og Mellom-Amerika
Brasil;715;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;SÃ¸r- og Mellom-Amerika
Guyana;720;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;SÃ¸r- og Mellom-Amerika
Chile;725;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;SÃ¸r- og Mellom-Amerika
Colombia;730;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;SÃ¸r- og Mellom-Amerika
