knummer_fra;kommunenavn_fra;kommunenr_2020;kommune_2020
5006;Steinkjer;5006;Steinkjer
5007;Namsos;5007;Namsos - Nåavmesjenjaelmie
5056;Hitra;5056;Hitra
5059;Orkland;5059;Orkland
5057;Ørland;5057;Ørland
5058;Åfjord;5058;Åfjord
5060;Nærøysund;5060;Nærøysund
0102;Sarpsborg (-1991);3003;Sarpsborg
0103;Fredrikstad (-1993);3004;Fredrikstad
0113;Borge (-1993);3004;Fredrikstad
0114;Varteig (-1991);3003;Sarpsborg
0115;Skjeberg (-1991);3003;Sarpsborg
0116;Berg  (-1966);3001;Halden
0117;Idd (-1966);3001;Halden
0130;Tune (-1991);3003;Sarpsborg
0131;Rolvsøy (1911-1993);3004;Fredrikstad
0133;Kråkerøy (1908-1993);3004;Fredrikstad
0134;Onsøy (-1993);3004;Fredrikstad
0401;Hamar (-1991);3403;Hamar
0414;Vang (-1991);3403;Hamar
0702;Holmestrand (-2017);3802;Holmestrand
0703;Horten (-1987);3801;Horten
0705;Tønsberg (-1987);3803;Tønsberg
0706;Sandefjord (-2016);3804;Sandefjord
0707;Larvik (-1987);3805;Larvik
0708;Stavern (1944-1987);3805;Larvik
0709;Larvik (1988-2017);3805;Larvik
0714;Hof (-2017);3802;Holmestrand
0716u;Våle (-2001);3803;Tønsberg
0717;Borre (-1987);3801;Horten
0718;Ramnes (-2001);3803;Tønsberg
0719;Andebu (-2016);3804;Sandefjord
0720;Stokke (-2016);3804;Sandefjord
0721;Sem (-1987);3803;Tønsberg
0722;Nøtterøy (-2017);3811;Færder
0723;Tjøme (-2017);3811;Færder
0725;Tjølling (-1987);3805;Larvik
0726;Brunlanes (-1987);3805;Larvik
0727;Hedrum (-1987);3805;Larvik
0728;Lardal (-2017);3805;Larvik
0903;Arendal (-1991);4203;Arendal
0918;Moland (1962-1991);4203;Arendal
0920;Øyestad (-1991);4203;Arendal
0921;Tromøy (-1991);4203;Arendal
0922;Hisøy (-1991);4203;Arendal
1154;Vindafjord (1965-2005);1160;Vindafjord
1159;Ølen (2002-2005);1160;Vindafjord
1214;Ølen (1916-2001);1160;Vindafjord
1503;Kristiansund  (-2007);1505;Kristiansund
1556;Frei (-2007);1505;Kristiansund
1567;Rindal (-2018);5061;Rindal
1569;Aure (-2005);1576;Aure
1572;Tustna (-2005);1576;Aure
1601;Trondheim (-2017);5001;Trondheim
1612;Hemne (-2017);5055;Heim
1613;Snillfjord (1924-2017);5055;Heim
1617;Hitra (-2017);5056;Hitra
1620;Frøya (1964-2017);5014;Frøya
1621;Ørland (-2017);5057;Ørland
1622;Agdenes (-2017);5059;Orkland
1624;Rissa (-2017);5054;Indre Fosen
1627;Bjugn (-2017);5057;Ørland
1630;Åfjord (-2017);5058;Åfjord
1632;Roan (-2017);5058;Åfjord
1633;Osen (-2017);5020;Osen
1634;Oppdal (-2017);5021;Oppdal
1635;Rennebu (-2017);5022;Rennebu
1636;Meldal (-2017);5059;Orkland
1638;Orkdal (-2017);5059;Orkland
1640;Røros (-2017);5025;Røros
1644;Holtålen (1972-2017);5026;Holtålen
1648;Midtre Gauldal (1964-2017);5027;Midtre Gauldal
1653;Melhus (-2017);5028;Melhus
1657;Skaun (-2017);5029;Skaun
1662;Klæbu (-2017);5001;Trondheim
1663;Malvik (-2017);5031;Malvik
1664;Selbu (-2017);5032;Selbu
1665;Tydal (-2017);5033;Tydal
1702;Steinkjer (-2017);5006;Steinkjer
1703;Namsos (-2017);5007;Namsos - Nåavmesjenjaelmie
1711;Meråker (-2017);5034;Meråker
1714;Stjørdal (-2017);5035;Stjørdal
1717;Frosta (-2017);5036;Frosta
1718;Leksvik (-2017);5054;Indre Fosen
1719;Levanger (1962-2017);5037;Levanger
1721;Verdal (-2017);5038;Verdal
1723;Mosvik  (-2011);5053;Inderøy
1724;Verran (-2017);5006;Steinkjer
1725;Namdalseid (-2017);5007;Namsos - Nåavmesjenjaelmie
1729;Inderøy (-2011);5053;Inderøy
1736;Snåase - Snåsa (-2017);5041;Snåase - Snåsa
1738;Lierne (1964-2017);5042;Lierne
1739;Raarvihke - Røyrvik (1923-2017);5043;Raarvihke - Røyrvik
1740;Namsskogan (1923-2017);5044;Namsskogan
1742;Grong (-2017);5045;Grong
1743;Høylandet (-2017);5046;Høylandet
1744;Overhalla (-2017);5047;Overhalla
1748;Fosnes (-2017);5007;Namsos - Nåavmesjenjaelmie
1749;Flatanger (-2017);5049;Flatanger
1750;Vikna (-2017);5060;Nærøysund
1751;Nærøy (-2017);5060;Nærøysund
1755;Leka (-2017);5052;Leka
1756;Inderøy (2012-2017);5053;Inderøy
1842;Skjerstad (-2004);1804;Bodø
1901;Harstad (-2012);5402;Harstad - Hárstták
1915;Bjarkøy (-2012);5402;Harstad - Hárstták
2001;Hammerfest (-1991);5406;Hammerfest - Hámmerfeasta
2016;Sørøysund (-1991);5406;Hammerfest - Hámmerfeasta
2111;Longyearbyen;2100;Svalbard
2112;Ny-Ålesund;2100;Svalbard
2115;Svea;2100;Svalbard
2121;Bjørnøya;2100;Svalbard
2131;Hopen;2100;Svalbard
2199;Uoppgitt kommune Svalbard;2100;Svalbard
