kommunenr_src,kommunenavn_src,kommunenr_2020,kommune_2020,kommunenr_2024,kommuner_2024
1662,Klæbu (-2017),5001,Trondheim,5001,Trondheim
1663,Malvik (-2017),5031,Malvik,5031,Malvik
1664,Selbu (-2017),5032,Selbu,5032,Selbu
1665,Tydal (-2017),5033,Tydal,5033,Tydal
1702,Steinkjer (-2017),5006,Steinkjer,5006,Steinkjer
1703,Namsos (-2017),5007,Namsos - Nåavmesjenjaelmie,5007,Namsos
1711,Meråker (-2017),5034,Meråker,5034,Meråker
1714,Stjørdal (-2017),5035,Stjørdal,5035,Stjørdal
1717,Frosta (-2017),5036,Frosta,5036,Frosta
1718,Leksvik (-2017),5054,Indre Fosen,5054,Indre Fosen
1719,Levanger (1962-2017),5037,Levanger,5037,Levanger
1721,Verdal (-2017),5038,Verdal,5038,Verdal
1723,Mosvik  (-2011),5053,Inderøy,5053,Inderøy
1724,Verran (-2017),5006,Steinkjer,5006,Steinkjer
1725,Namdalseid (-2017),5007,Namsos - Nåavmesjenjaelmie,5007,Namsos
1729,Inderøy (-2011),5053,Inderøy,5053,Inderøy
1736,Snåase - Snåsa (-2017),5041,Snåase - Snåsa,5041,Snåase - Snåsa
1738,Lierne (1964-2017),5042,Lierne,5042,Lierne
1739,Raarvihke - Røyrvik (1923-2017),5043,Raarvihke - Røyrvik,5043,Raarvihke - Røyrvik
1740,Namsskogan (1923-2017),5044,Namsskogan,5044,Namsskogan
1742,Grong (-2017),5045,Grong,5045,Grong
1743,Høylandet (-2017),5046,Høylandet,5046,Høylandet
1744,Overhalla (-2017),5047,Overhalla,5047,Overhalla
1748,Fosnes (-2017),5007,Namsos - Nåavmesjenjaelmie,5007,Namsos
1749,Flatanger (-2017),5049,Flatanger,5049,Flatanger
1750,Vikna (-2017),5060,Nærøysund,5060,Nærøysund
1751,Nærøy (-2017),5060,Nærøysund,5060,Nærøysund
1755,Leka (-2017),5052,Leka,5052,Leka
1756,Inderøy (2012-2017),5053,Inderøy,5053,Inderøy
1842,Skjerstad (-2004),1804,Bodø,1804,Bodø
1901,Harstad (-2012),5402,Harstad - Hárstták,5503,Harstad
1915,Bjarkøy (-2012),5402,Harstad - Hárstták,5503,Harstad
2001,Hammerfest (-1991),5406,Hammerfest - Hámmerfeasta,5603,Hammerfest
2016,Sørøysund (-1991),5406,Hammerfest - Hámmerfeasta,5603,Hammerfest
2111,Longyearbyen,2100,Svalbard,2100,Svalbard
2112,Ny-Ålesund,2100,Svalbard,2100,Svalbard
2115,Svea,2100,Svalbard,2100,Svalbard
2121,Bjørnøya,2100,Svalbard,2100,Svalbard
2131,Hopen,2100,Svalbard,2100,Svalbard
2199,Uoppgitt kommune Svalbard,2100,Svalbard,2100,Svalbard
0301,Oslo,,,0301,Oslo
1101,Eigersund,,,1101,Eigersund
1103,Stavanger,,,1103,Stavanger
1106,Haugesund,,,1106,Haugesund
1108,Sandnes,,,1108,Sandnes
1111,Sokndal,,,1111,Sokndal
1112,Lund,,,1112,Lund
1114,Bjerkreim,,,1114,Bjerkreim
1119,Hå,,,1119,Hå
1120,Klepp,,,1120,Klepp
1121,Time,,,1121,Time
1122,Gjesdal,,,1122,Gjesdal
1124,Sola,,,1124,Sola
1127,Randaberg,,,1127,Randaberg
1130,Strand,,,1130,Strand
1133,Hjelmeland,,,1133,Hjelmeland
1134,Suldal,,,1134,Suldal
1135,Sauda,,,1135,Sauda
1144,Kvitsøy,,,1144,Kvitsøy
1145,Bokn,,,1145,Bokn
1146,Tysvær,,,1146,Tysvær
1149,Karmøy,,,1149,Karmøy
1151,Utsira,,,1151,Utsira
1160,Vindafjord,,,1160,Vindafjord
1505,Kristiansund,,,1505,Kristiansund
1506,Molde,,,1506,Molde
1508,Ålesund,,,1508,Ålesund
1511,Vanylven,,,1511,Vanylven
1514,Sande,,,1514,Sande
1515,Herøy (Møre og Romsdal),,,1515,Herøy (Møre og Romsdal)
1516,Ulstein,,,1516,Ulstein
1517,Hareid,,,1517,Hareid
1520,Ørsta,,,1520,Ørsta
1525,Stranda,,,1525,Stranda
1528,Sykkylven,,,1528,Sykkylven
1531,Sula,,,1531,Sula
1532,Giske,,,1532,Giske
1535,Vestnes,,,1535,Vestnes
1539,Rauma,,,1539,Rauma
1547,Aukra,,,1547,Aukra
1554,Averøy,,,1554,Averøy
1557,Gjemnes,,,1557,Gjemnes
1560,Tingvoll,,,1560,Tingvoll
1563,Sunndal,,,1563,Sunndal
1566,Surnadal,,,1566,Surnadal
1573,Smøla,,,1573,Smøla
1576,Aure,,,1576,Aure
1577,Volda,,,1577,Volda
1578,Fjord,,,1578,Fjord
1579,Hustadvika,,,1579,Hustadvika
1580,Haram,,,1580,Haram
1804,Bodø,,,1804,Bodø
1806,Narvik,,,1806,Narvik
1811,Bindal,,,1811,Bindal
1812,Sømna,,,1812,Sømna
1813,Brønnøy,,,1813,Brønnøy
1815,Vega,,,1815,Vega
1816,Vevelstad,,,1816,Vevelstad
1818,Herøy (Nordland),,,1818,Herøy (Nordland)
1820,Alstahaug,,,1820,Alstahaug
1822,Leirfjord,,,1822,Leirfjord
1824,Vefsn,,,1824,Vefsn
1825,Grane,,,1825,Grane
1826,Hattfjelldal,,,1826,Hattfjelldal
1827,Dønna,,,1827,Dønna
1828,Nesna,,,1828,Nesna
1832,Hemnes,,,1832,Hemnes
1833,Rana,,,1833,Rana
1834,Lurøy,,,1834,Lurøy
1835,Træna,,,1835,Træna
1836,Rødøy,,,1836,Rødøy
1837,Meløy,,,1837,Meløy
1838,Gildeskål,,,1838,Gildeskål
1839,Beiarn,,,1839,Beiarn
1840,Saltdal,,,1840,Saltdal
1841,Fauske - Fuosko,,,1841,Fauske - Fuosko
1845,Sørfold,,,1845,Sørfold
1848,Steigen,,,1848,Steigen
1851,Lødingen,,,1851,Lødingen
1853,Evenes,,,1853,Evenes
1856,Røst,,,1856,Røst
1857,Værøy,,,1857,Værøy
1859,Flakstad,,,1859,Flakstad
1860,Vestvågøy,,,1860,Vestvågøy
1865,Vågan,,,1865,Vågan
1866,Hadsel,,,1866,Hadsel
1867,Bø,,,1867,Bø
1868,Øksnes,,,1868,Øksnes
1870,Sortland - Suortá,,,1870,Sortland - Suortá
1871,Andøy,,,1871,Andøy
1874,Moskenes,,,1874,Moskenes
1875,Hamarøy,,,1875,Hamarøy
3101,Halden,,,3101,Halden
3103,Moss,,,3103,Moss
3105,Sarpsborg,,,3105,Sarpsborg
3107,Fredrikstad,,,3107,Fredrikstad
3110,Hvaler,,,3110,Hvaler
3112,Råde,,,3112,Råde
3114,Våler,,,3114,Våler
3116,Skiptvet,,,3116,Skiptvet
3118,Indre Østfold,,,3118,Indre Østfold
3120,Rakkestad,,,3120,Rakkestad
3122,Marker,,,3122,Marker
3124,Aremark,,,3124,Aremark
3201,Bærum,,,3201,Bærum
3203,Asker,,,3203,Asker
3205,Lillestrøm,,,3205,Lillestrøm
3207,Nordre Follo,,,3207,Nordre Follo
3209,Ullensaker,,,3209,Ullensaker
3212,Nesodden,,,3212,Nesodden
3214,Frogn,,,3214,Frogn
3216,Vestby,,,3216,Vestby
3218,Ås,,,3218,Ås
3220,Enebakk,,,3220,Enebakk
3222,Lørenskog,,,3222,Lørenskog
3224,Rælingen,,,3224,Rælingen
3226,Aurskog-Høland,,,3226,Aurskog-Høland
3228,Nes,,,3228,Nes
3230,Gjerdrum,,,3230,Gjerdrum
3232,Nittedal,,,3232,Nittedal
3234,Lunner,,,3234,Lunner
3236,Jevnaker,,,3236,Jevnaker
3238,Nannestad,,,3238,Nannestad
3240,Eidsvoll,,,3240,Eidsvoll
3242,Hurdal,,,3242,Hurdal
3301,Drammen,,,3301,Drammen
3303,Kongsberg,,,3303,Kongsberg
3305,Ringerike,,,3305,Ringerike
3310,Hole,,,3310,Hole
3312,Lier,,,3312,Lier
3314,Øvre Eiker,,,3314,Øvre Eiker
3316,Modum,,,3316,Modum
3318,Krødsherad,,,3318,Krødsherad
3320,Flå,,,3320,Flå
3322,Nesbyen,,,3322,Nesbyen
3324,Gol,,,3324,Gol
3326,Hemsedal,,,3326,Hemsedal
3328,Ål,,,3328,Ål
3330,Hol,,,3330,Hol
3332,Sigdal,,,3332,Sigdal
3334,Flesberg,,,3334,Flesberg
3336,Rollag,,,3336,Rollag
3338,Nore og Uvdal,,,3338,Nore og Uvdal
3401,Kongsvinger,,,3401,Kongsvinger
3403,Hamar,,,3403,Hamar
3405,Lillehammer,,,3405,Lillehammer
3407,Gjøvik,,,3407,Gjøvik
3411,Ringsaker,,,3411,Ringsaker
3412,Løten,,,3412,Løten
3413,Stange,,,3413,Stange
3414,Nord-Odal,,,3414,Nord-Odal
3415,Sør-Odal,,,3415,Sør-Odal
3416,Eidskog,,,3416,Eidskog
3417,Grue,,,3417,Grue
3418,Åsnes,,,3418,Åsnes
3419,Våler (Innlandet),,,3419,Våler (Innlandet)
3420,Elverum,,,3420,Elverum
3421,Trysil,,,3421,Trysil
3422,Åmot,,,3422,Åmot
3423,Stor-Elvdal,,,3423,Stor-Elvdal
3424,Rendalen,,,3424,Rendalen
3425,Engerdal,,,3425,Engerdal
3426,Tolga,,,3426,Tolga
3427,Tynset,,,3427,Tynset
3428,Alvdal,,,3428,Alvdal
3429,Folldal,,,3429,Folldal
3430,Os,,,3430,Os
3431,Dovre,,,3431,Dovre
3432,Lesja,,,3432,Lesja
3433,Skjåk,,,3433,Skjåk
3434,Lom,,,3434,Lom
3435,Vågå,,,3435,Vågå
3436,Nord-Fron,,,3436,Nord-Fron
3437,Sel,,,3437,Sel
3438,Sør-Fron,,,3438,Sør-Fron
3439,Ringebu,,,3439,Ringebu
3440,Øyer,,,3440,Øyer
3441,Gausdal,,,3441,Gausdal
3442,Østre Toten,,,3442,Østre Toten
3443,Vestre Toten,,,3443,Vestre Toten
3446,Gran,,,3446,Gran
3447,Søndre Land,,,3447,Søndre Land
3448,Nordre Land,,,3448,Nordre Land
3449,Sør-Aurdal,,,3449,Sør-Aurdal
3450,Etnedal,,,3450,Etnedal
3451,Nord-Aurdal,,,3451,Nord-Aurdal
3452,Vestre Slidre,,,3452,Vestre Slidre
3453,Øystre Slidre,,,3453,Øystre Slidre
3454,Vang,,,3454,Vang
3901,Horten,,,3901,Horten
3903,Holmestrand,,,3903,Holmestrand
3905,Tønsberg,,,3905,Tønsberg
3907,Sandefjord,,,3907,Sandefjord
3909,Larvik,,,3909,Larvik
3911,Færder,,,3911,Færder
4001,Porsgrunn,,,4001,Porsgrunn
4003,Skien,,,4003,Skien
4005,Notodden,,,4005,Notodden
4010,Siljan,,,4010,Siljan
4012,Bamble,,,4012,Bamble
4014,Kragerø,,,4014,Kragerø
4016,Drangedal,,,4016,Drangedal
4018,Nome,,,4018,Nome
4020,Midt-Telemark,,,4020,Midt-Telemark
4022,Seljord,,,4022,Seljord
4024,Hjartdal,,,4024,Hjartdal
4026,Tinn,,,4026,Tinn
4028,Kviteseid,,,4028,Kviteseid
4030,Nissedal,,,4030,Nissedal
4032,Fyresdal,,,4032,Fyresdal
4034,Tokke,,,4034,Tokke
4036,Vinje,,,4036,Vinje
4201,Risør,,,4201,Risør
4202,Grimstad,,,4202,Grimstad
4203,Arendal,,,4203,Arendal
4204,Kristiansand,,,4204,Kristiansand
4205,Lindesnes,,,4205,Lindesnes
4206,Farsund,,,4206,Farsund
4207,Flekkefjord,,,4207,Flekkefjord
4211,Gjerstad,,,4211,Gjerstad
4212,Vegårshei,,,4212,Vegårshei
4213,Tvedestrand,,,4213,Tvedestrand
4214,Froland,,,4214,Froland
4215,Lillesand,,,4215,Lillesand
4216,Birkenes,,,4216,Birkenes
4217,Åmli,,,4217,Åmli
4218,Iveland,,,4218,Iveland
4219,Evje og Hornnes,,,4219,Evje og Hornnes
4220,Bygland,,,4220,Bygland
4221,Valle,,,4221,Valle
4222,Bykle,,,4222,Bykle
4223,Vennesla,,,4223,Vennesla
4224,Åseral,,,4224,Åseral
4225,Lyngdal,,,4225,Lyngdal
4226,Hægebostad,,,4226,Hægebostad
4227,Kvinesdal,,,4227,Kvinesdal
4228,Sirdal,,,4228,Sirdal
4601,Bergen,,,4601,Bergen
4602,Kinn,,,4602,Kinn
4611,Etne,,,4611,Etne
4612,Sveio,,,4612,Sveio
4613,Bømlo,,,4613,Bømlo
4614,Stord,,,4614,Stord
4615,Fitjar,,,4615,Fitjar
4616,Tysnes,,,4616,Tysnes
4617,Kvinnherad,,,4617,Kvinnherad
4618,Ullensvang,,,4618,Ullensvang
4619,Eidfjord,,,4619,Eidfjord
4620,Ulvik,,,4620,Ulvik
4621,Voss,,,4621,Voss
4622,Kvam,,,4622,Kvam
4623,Samnanger,,,4623,Samnanger
4624,Bjørnafjorden,,,4624,Bjørnafjorden
4625,Austevoll,,,4625,Austevoll
4626,Øygarden,,,4626,Øygarden
4627,Askøy,,,4627,Askøy
4628,Vaksdal,,,4628,Vaksdal
4629,Modalen,,,4629,Modalen
4630,Osterøy,,,4630,Osterøy
4631,Alver,,,4631,Alver
4632,Austrheim,,,4632,Austrheim
4633,Fedje,,,4633,Fedje
4634,Masfjorden,,,4634,Masfjorden
4635,Gulen,,,4635,Gulen
4636,Solund,,,4636,Solund
4637,Hyllestad,,,4637,Hyllestad
4638,Høyanger,,,4638,Høyanger
4639,Vik,,,4639,Vik
4640,Sogndal,,,4640,Sogndal
4641,Aurland,,,4641,Aurland
4642,Lærdal,,,4642,Lærdal
4643,Årdal,,,4643,Årdal
4644,Luster,,,4644,Luster
4645,Askvoll,,,4645,Askvoll
4646,Fjaler,,,4646,Fjaler
4647,Sunnfjord,,,4647,Sunnfjord
4648,Bremanger,,,4648,Bremanger
4649,Stad,,,4649,Stad
4650,Gloppen,,,4650,Gloppen
4651,Stryn,,,4651,Stryn
5001,Trondheim,,,5001,Trondheim
5006,Steinkjer,,,5006,Steinkjer
5007,Namsos,,,5007,Namsos
5014,Frøya,,,5014,Frøya
5020,Osen,,,5020,Osen
5021,Oppdal,,,5021,Oppdal
5022,Rennebu,,,5022,Rennebu
5025,Røros,,,5025,Røros
5026,Holtålen,,,5026,Holtålen
5027,Midtre Gauldal,,,5027,Midtre Gauldal
5028,Melhus,,,5028,Melhus
5029,Skaun,,,5029,Skaun
5031,Malvik,,,5031,Malvik
5032,Selbu,,,5032,Selbu
5033,Tydal,,,5033,Tydal
5034,Meråker,,,5034,Meråker
5035,Stjørdal,,,5035,Stjørdal
5036,Frosta,,,5036,Frosta
5037,Levanger,,,5037,Levanger
5038,Verdal,,,5038,Verdal
5041,Snåase - Snåsa,,,5041,Snåase - Snåsa
5042,Lierne,,,5042,Lierne
5043,Raarvihke - Røyrvik,,,5043,Raarvihke - Røyrvik
5044,Namsskogan,,,5044,Namsskogan
5045,Grong,,,5045,Grong
5046,Høylandet,,,5046,Høylandet
5047,Overhalla,,,5047,Overhalla
5049,Flatanger,,,5049,Flatanger
5052,Leka,,,5052,Leka
5053,Inderøy,,,5053,Inderøy
5054,Indre Fosen,,,5054,Indre Fosen
5055,Heim,,,5055,Heim
5056,Hitra,,,5056,Hitra
5057,Ørland,,,5057,Ørland
5058,Åfjord,,,5058,Åfjord
5059,Orkland,,,5059,Orkland
5060,Nærøysund,,,5060,Nærøysund
5061,Rindal,,,5061,Rindal
5501,Tromsø,,,5501,Tromsø
5503,Harstad,,,5503,Harstad
5510,Kvæfjord,,,5510,Kvæfjord
5512,Tjeldsund,,,5512,Tjeldsund
5514,Ibestad,,,5514,Ibestad
5516,Gratangen,,,5516,Gratangen
5518,Loabák - Lavangen,,,5518,Loabák - Lavangen
5520,Bardu,,,5520,Bardu
5522,Salangen,,,5522,Salangen
5524,Målselv,,,5524,Målselv
5526,Sørreisa,,,5526,Sørreisa
5528,Dyrøy,,,5528,Dyrøy
5530,Senja,,,5530,Senja
5532,Balsfjord,,,5532,Balsfjord
5534,Karlsøy,,,5534,Karlsøy
5536,Lyngen,,,5536,Lyngen
5538,Storfjord - Omasvuotna - Omasvuono,,,5538,Storfjord - Omasvuotna - Omasvuono
5540,Gáivuotna - Kåfjord - Kaivuono,,,5540,Gáivuotna - Kåfjord - Kaivuono
5542,Skjervøy,,,5542,Skjervøy
5544,Nordreisa,,,5544,Nordreisa
5546,Kvænangen,,,5546,Kvænangen
5601,Alta,,,5601,Alta
5603,Hammerfest,,,5603,Hammerfest
5605,Sør-Varanger,,,5605,Sør-Varanger
5607,Vadsø,,,5607,Vadsø
5610,Kárásjohka - Karasjok,,,5610,Kárásjohka - Karasjok
5612,Guovdageaidnu - Kautokeino,,,5612,Guovdageaidnu - Kautokeino
5614,Loppa,,,5614,Loppa
5616,Hasvik,,,5616,Hasvik
5618,Måsøy,,,5618,Måsøy
5620,Nordkapp,,,5620,Nordkapp
5622,Porsanger - Porsángu - Porsanki ,,,5622,Porsanger - Porsángu - Porsanki 
5624,Lebesby,,,5624,Lebesby
5626,Gamvik,,,5626,Gamvik
5628,Deatnu-Tana,,,5628,Deatnu-Tana
5630,Berlevåg,,,5630,Berlevåg
5632,Båtsfjord,,,5632,Båtsfjord
5634,Vardø,,,5634,Vardø
5636,Unjárga-Nesseby,,,5636,Unjárga-Nesseby
