styrk08_4_code;styrk08_04_name;styrk08_3_code;styrk08_3_name;styrk08_2_code;styrk08_2_name;styrk08_1_code;styrk08_1_ name;;;;;
1321;Ledere av industriproduksjon mv.;132;Ledere av produksjon, utvinning, bygg og anlegg, transport;13;Ledere av enheter for vareproduksjon og tjenesteyting;1;Ledere;;;;;
1322;Ledere av olje- og gassutvinning mv.;132;Ledere av produksjon, utvinning, bygg og anlegg, transport;13;Ledere av enheter for vareproduksjon og tjenesteyting;1;Ledere;;;;;
1323;Ledere av bygge- og anleggsvirksomhet;132;Ledere av produksjon, utvinning, bygg og anlegg, transport;13;Ledere av enheter for vareproduksjon og tjenesteyting;1;Ledere;;;;;
1324;Ledere av logistikk og transport mv.;132;Ledere av produksjon, utvinning, bygg og anlegg, transport;13;Ledere av enheter for vareproduksjon og tjenesteyting;1;Ledere;;;;;
1330;Ledere av IKT-enheter;133;Ledere av IKT-enheter;13;Ledere av enheter for vareproduksjon og tjenesteyting;1;Ledere;;;;;
1341;Ledere av omsorgstjenester for barn;134;Ledere av utdanning, helse- og sosialtjenester;13;Ledere av enheter for vareproduksjon og tjenesteyting;1;Ledere;;;;;
1342;Ledere av helsetjenester;134;Ledere av utdanning, helse- og sosialtjenester;13;Ledere av enheter for vareproduksjon og tjenesteyting;1;Ledere;;;;;
1343;Ledere av eldreomsorg;134;Ledere av utdanning, helse- og sosialtjenester;13;Ledere av enheter for vareproduksjon og tjenesteyting;1;Ledere;;;;;
1344;Ledere av sosialomsorg;134;Ledere av utdanning, helse- og sosialtjenester;13;Ledere av enheter for vareproduksjon og tjenesteyting;1;Ledere;;;;;
1345;Ledere av utdanning og undervisning;134;Ledere av utdanning, helse- og sosialtjenester;13;Ledere av enheter for vareproduksjon og tjenesteyting;1;Ledere;;;;;
1346;Ledere av forsikring og finansvirksomhet;134;Ledere av utdanning, helse- og sosialtjenester;13;Ledere av enheter for vareproduksjon og tjenesteyting;1;Ledere;;;;;
1349;Andre ledere av produksjon og tjenesteyting;134;Ledere av utdanning, helse- og sosialtjenester;13;Ledere av enheter for vareproduksjon og tjenesteyting;1;Ledere;;;;;
1411;Hotellsjefer;141;Ledere i hotell og restaurant;14;Ledere i hotell, restaurant, varehandel mv.;1;Ledere;;;;;
1412;Restaurantsjefer;141;Ledere i hotell og restaurant;14;Ledere i hotell, restaurant, varehandel mv.;1;Ledere;;;;;
1420;Varehandelssjefer;142;Varehandelssjefer;14;Ledere i hotell, restaurant, varehandel mv.;1;Ledere;;;;;
1431;Sports-, rekreasjons- og kultursenterledere;143;Daglige ledere, andre tjenesteytende virksomheter;14;Ledere i hotell, restaurant, varehandel mv.;1;Ledere;;;;;
1439;Andre daglige ledere i tjenesteytende virksomheter;143;Daglige ledere, andre tjenesteytende virksomheter;14;Ledere i hotell, restaurant, varehandel mv.;1;Ledere;;;;;
2111;Fysikere og astronomer;211;Fysikere, kjemikere mv.;21;Realister, sivilingeniører mv.;2;Akademiske yrker;;;;;
2112;Meteorologer;211;Fysikere, kjemikere mv.;21;Realister, sivilingeniører mv.;2;Akademiske yrker;;;;;
2113;Kjemikere;211;Fysikere, kjemikere mv.;21;Realister, sivilingeniører mv.;2;Akademiske yrker;;;;;
2114;Geologer og geofysikere;211;Fysikere, kjemikere mv.;21;Realister, sivilingeniører mv.;2;Akademiske yrker;;;;;
2120;Matematikere, statistikere mv.;212;Matematikere, statistikere mv.;21;Realister, sivilingeniører mv.;2;Akademiske yrker;;;;;
2131;Biologer, botanikere, zoologer mv.;213;Biologiske yrker mv.;21;Realister, sivilingeniører mv.;2;Akademiske yrker;;;;;
2132;Sivilagronomer mv.;213;Biologiske yrker mv.;21;Realister, sivilingeniører mv.;2;Akademiske yrker;;;;;
2133;Miljøvernrådgivere;213;Biologiske yrker mv.;21;Realister, sivilingeniører mv.;2;Akademiske yrker;;;;;
2141;Sivilingeniører (industri og produksjon);214;Sivilingeniører (unntatt elektroteknologi);21;Realister, sivilingeniører mv.;2;Akademiske yrker;;;;;
2142;Sivilingeniører (bygg og anlegg);214;Sivilingeniører (unntatt elektroteknologi);21;Realister, sivilingeniører mv.;2;Akademiske yrker;;;;;
2143;Sivilingeniører (miljøteknikk);214;Sivilingeniører (unntatt elektroteknologi);21;Realister, sivilingeniører mv.;2;Akademiske yrker;;;;;
2144;Sivilingeniører (maskin- og marin-teknikk);214;Sivilingeniører (unntatt elektroteknologi);21;Realister, sivilingeniører mv.;2;Akademiske yrker;;;;;
2145;Sivilingeniører (kjemi);214;Sivilingeniører (unntatt elektroteknologi);21;Realister, sivilingeniører mv.;2;Akademiske yrker;;;;;
2146;Sivilingeniører (geofag, petro-leumsteknologi, metallurgi mv.);214;Sivilingeniører (unntatt elektroteknologi);21;Realister, sivilingeniører mv.;2;Akademiske yrker;;;;;
2149;Andre sivilingeniører (unntatt elektroteknologi);214;Sivilingeniører (unntatt elektroteknologi);21;Realister, sivilingeniører mv.;2;Akademiske yrker;;;;;
2151;Sivilingeniører (elkraftteknikk);215;Sivilingeniører elektroteknologi;21;Realister, sivilingeniører mv.;2;Akademiske yrker;;;;;
2152;Sivilingeniører (elektronikk);215;Sivilingeniører elektroteknologi;21;Realister, sivilingeniører mv.;2;Akademiske yrker;;;;;
2153;Sivilingeniører (telekommunikasjon);215;Sivilingeniører elektroteknologi;21;Realister, sivilingeniører mv.;2;Akademiske yrker;;;;;
2161;Sivilarkitekter;216;Arkitekter, designere mv.;21;Realister, sivilingeniører mv.;2;Akademiske yrker;;;;;
2162;Landskapsarkitekter;216;Arkitekter, designere mv.;21;Realister, sivilingeniører mv.;2;Akademiske yrker;;;;;
2163;Produkt- og klesdesignere;216;Arkitekter, designere mv.;21;Realister, sivilingeniører mv.;2;Akademiske yrker;;;;;
2164;Arealplanleggere;216;Arkitekter, designere mv.;21;Realister, sivilingeniører mv.;2;Akademiske yrker;;;;;
2165;Landmålere, kartografer mv.;216;Arkitekter, designere mv.;21;Realister, sivilingeniører mv.;2;Akademiske yrker;;;;;
2166;Grafiske- og multimediadesignere;216;Arkitekter, designere mv.;21;Realister, sivilingeniører mv.;2;Akademiske yrker;;;;;
2211;Allmennpraktiserende leger;221;Leger;22;Medisinske yrker;2;Akademiske yrker;;;;;
2212;Legespesialister;221;Leger;22;Medisinske yrker;2;Akademiske yrker;;;;;
2221;Spesialsykepleiere;222;Sykepleiere og spesialsykepleiere;22;Medisinske yrker;2;Akademiske yrker;;;;;
2222;Jordmødre;222;Sykepleiere og spesialsykepleiere;22;Medisinske yrker;2;Akademiske yrker;;;;;
2223;Sykepleiere;222;Sykepleiere og spesialsykepleiere;22;Medisinske yrker;2;Akademiske yrker;;;;;
2224;Vernepleiere;222;Sykepleiere og spesialsykepleiere;22;Medisinske yrker;2;Akademiske yrker;;;;;
2250;Veterinærer;225;Veterinærer;22;Medisinske yrker;2;Akademiske yrker;;;;;
2261;Tannleger;226;Andre medisinske yrker;22;Medisinske yrker;2;Akademiske yrker;;;;;
2262;Farmasøyter;226;Andre medisinske yrker;22;Medisinske yrker;2;Akademiske yrker;;;;;
2263;Helse- og miljørådgivere;226;Andre medisinske yrker;22;Medisinske yrker;2;Akademiske yrker;;;;;
2264;Fysioterapeuter;226;Andre medisinske yrker;22;Medisinske yrker;2;Akademiske yrker;;;;;
2265;Ernæringsfysiologer;226;Andre medisinske yrker;22;Medisinske yrker;2;Akademiske yrker;;;;;
2266;Audiografer og logopeder;226;Andre medisinske yrker;22;Medisinske yrker;2;Akademiske yrker;;;;;
2267;Ergoterapeuter;226;Andre medisinske yrker;22;Medisinske yrker;2;Akademiske yrker;;;;;
2269;Kiropraktorer mv.;226;Andre medisinske yrker;22;Medisinske yrker;2;Akademiske yrker;;;;;
2310;Universitets- og høyskolelektorer/-lærere;231;Universitets- og høyskolelektorer/-lærere;23;Undervisningsyrker;2;Akademiske yrker;;;;;
2320;Yrkesfaglærere;232;Yrkesfaglærere;23;Undervisningsyrker;2;Akademiske yrker;;;;;
2330;Lektorer mv. (videregående skole);233;Lektorer mv (videregående skole);23;Undervisningsyrker;2;Akademiske yrker;;;;;
2341;Grunnskolelærere;234;Grunnskole- og førskole-/barnehagelærere;23;Undervisningsyrker;2;Akademiske yrker;;;;;
2342;Førskole-/barnehagelærere;234;Grunnskole- og førskole-/barnehagelærere;23;Undervisningsyrker;2;Akademiske yrker;;;;;
2351;Spesialister i pedagogikk;235;Andre lærere;23;Undervisningsyrker;2;Akademiske yrker;;;;;
2352;Spesiallærere / spesialpedagoger;235;Andre lærere;23;Undervisningsyrker;2;Akademiske yrker;;;;;
2353;Andre språklærere;235;Andre lærere;23;Undervisningsyrker;2;Akademiske yrker;;;;;
2354;Andre musikklærere;235;Andre lærere;23;Undervisningsyrker;2;Akademiske yrker;;;;;
2355;Andre lærere i estetiske fag;235;Andre lærere;23;Undervisningsyrker;2;Akademiske yrker;;;;;
2356;Andre IKT-lærere;235;Andre lærere;23;Undervisningsyrker;2;Akademiske yrker;;;;;
2359;Andre lærere;235;Andre lærere;23;Undervisningsyrker;2;Akademiske yrker;;;;;
2411;Revisorer, regnskapsrådgivere;241;Finansrådgivere;24;Rådgivere innen økonomi, administrasjon og salg;2;Akademiske yrker;;;;;
2412;Finans- og investeringsrådgivere;241;Finansrådgivere;24;Rådgivere innen økonomi, administrasjon og salg;2;Akademiske yrker;;;;;
2413;Finansanalytikere;241;Finansrådgivere;24;Rådgivere innen økonomi, administrasjon og salg;2;Akademiske yrker;;;;;
2421;Organisasjonsrådgivere mv.;242;Administrasjonsrådgivere;24;Rådgivere innen økonomi, administrasjon og salg;2;Akademiske yrker;;;;;
2422;Høyere saksbehandlere i offentlig og privat virksomhet;242;Administrasjonsrådgivere;24;Rådgivere innen økonomi, administrasjon og salg;2;Akademiske yrker;;;;;
2423;Personal- og karriererådgivere;242;Administrasjonsrådgivere;24;Rådgivere innen økonomi, administrasjon og salg;2;Akademiske yrker;;;;;
2424;Rådgivere innen kompetanseutvikling;242;Administrasjonsrådgivere;24;Rådgivere innen økonomi, administrasjon og salg;2;Akademiske yrker;;;;;
2431;Reklame- og markedsføringsrådgivere;243;Rådgivere innen salg, markedsføring mv.;24;Rådgivere innen økonomi, administrasjon og salg;2;Akademiske yrker;;;;;
2432;Informasjonsrådgivere;243;Rådgivere innen salg, markedsføring mv.;24;Rådgivere innen økonomi, administrasjon og salg;2;Akademiske yrker;;;;;
2433;Salgskonsulenter innen tekniske og medisinske produkter;243;Rådgivere innen salg, markedsføring mv.;24;Rådgivere innen økonomi, administrasjon og salg;2;Akademiske yrker;;;;;
2434;Salgskonsulenter innen IKT-produkter;243;Rådgivere innen salg, markedsføring mv.;24;Rådgivere innen økonomi, administrasjon og salg;2;Akademiske yrker;;;;;
2511;Systemanalytikere/-arkitekter;251;Programvare- og applikasjonsutviklere/analytikere;25;IKT-rådgivere;2;Akademiske yrker;;;;;
2512;Programvareutviklere;251;Programvare- og applikasjonsutviklere/analytikere;25;IKT-rådgivere;2;Akademiske yrker;;;;;
2513;Nett- og multimediautviklere;251;Programvare- og applikasjonsutviklere/analytikere;25;IKT-rådgivere;2;Akademiske yrker;;;;;
2514;Applikasjonsprogrammerere;251;Programvare- og applikasjonsutviklere/analytikere;25;IKT-rådgivere;2;Akademiske yrker;;;;;
2519;Andre programvare- og applikasjonsutviklere;251;Programvare- og applikasjonsutviklere/analytikere;25;IKT-rådgivere;2;Akademiske yrker;;;;;
2521;Databasedesignere og -administratorer;252;Databasedesignere, systemadministratorer mv.;25;IKT-rådgivere;2;Akademiske yrker;;;;;
2522;Systemadministratorer;252;Databasedesignere, systemadministratorer mv.;25;IKT-rådgivere;2;Akademiske yrker;;;;;
2523;Nettverksansvarlige;252;Databasedesignere, systemadministratorer mv.;25;IKT-rådgivere;2;Akademiske yrker;;;;;
2529;Sikkerhetsanalytikere mv.;252;Databasedesignere, systemadministratorer mv.;25;IKT-rådgivere;2;Akademiske yrker;;;;;
2611;Jurister og advokater;261;Juridiske yrker;26;Juridiske, samfunnsvitenskapelige og humanistiske yrker;2;Akademiske yrker;;;;;
2612;Dommere;261;Juridiske yrker;26;Juridiske, samfunnsvitenskapelige og humanistiske yrker;2;Akademiske yrker;;;;;
2619;Andre juridiske yrker;261;Juridiske yrker;26;Juridiske, samfunnsvitenskapelige og humanistiske yrker;2;Akademiske yrker;;;;;
2621;Arkivarer og kuratorer;262;Bibliotekarer, arkivarer mv.;26;Juridiske, samfunnsvitenskapelige og humanistiske yrker;2;Akademiske yrker;;;;;
2622;Bibliotekarer og andre informasjonsarbeidere;262;Bibliotekarer, arkivarer mv.;26;Juridiske, samfunnsvitenskapelige og humanistiske yrker;2;Akademiske yrker;;;;;
2631;Rådgivere/forskere, samfunnsøkonomi;263;Samfunnsvitenskapelige, humanistiske og religiøse yrker;26;Juridiske, samfunnsvitenskapelige og humanistiske yrker;2;Akademiske yrker;;;;;
2632;Rådgivere/forskere, samfunnsvitenskap;263;Samfunnsvitenskapelige, humanistiske og religiøse yrker;26;Juridiske, samfunnsvitenskapelige og humanistiske yrker;2;Akademiske yrker;;;;;
2633;Rådgivere/forskere, humanistiske fag;263;Samfunnsvitenskapelige, humanistiske og religiøse yrker;26;Juridiske, samfunnsvitenskapelige og humanistiske yrker;2;Akademiske yrker;;;;;
2634;Psykologer;263;Samfunnsvitenskapelige, humanistiske og religiøse yrker;26;Juridiske, samfunnsvitenskapelige og humanistiske yrker;2;Akademiske yrker;;;;;
2635;Rådgivere innen sosiale fagfelt;263;Samfunnsvitenskapelige, humanistiske og religiøse yrker;26;Juridiske, samfunnsvitenskapelige og humanistiske yrker;2;Akademiske yrker;;;;;
2636;Geistlige yrker;263;Samfunnsvitenskapelige, humanistiske og religiøse yrker;26;Juridiske, samfunnsvitenskapelige og humanistiske yrker;2;Akademiske yrker;;;;;
2641;Forfattere mv.;264;Forfattere, journalister mv.;26;Juridiske, samfunnsvitenskapelige og humanistiske yrker;2;Akademiske yrker;;;;;
2642;Journalister;264;Forfattere, journalister mv.;26;Juridiske, samfunnsvitenskapelige og humanistiske yrker;2;Akademiske yrker;;;;;
2643;Oversettere, tolker mv.;264;Forfattere, journalister mv.;26;Juridiske, samfunnsvitenskapelige og humanistiske yrker;2;Akademiske yrker;;;;;
2651;Skulptører, kunstmalere og andre billedkunstnere;265;Profesjonelle kunstnere;26;Juridiske, samfunnsvitenskapelige og humanistiske yrker;2;Akademiske yrker;;;;;
2652;Dirigenter, komponister, musikere og sangere;265;Profesjonelle kunstnere;26;Juridiske, samfunnsvitenskapelige og humanistiske yrker;2;Akademiske yrker;;;;;
2653;Koreografer og dansere;265;Profesjonelle kunstnere;26;Juridiske, samfunnsvitenskapelige og humanistiske yrker;2;Akademiske yrker;;;;;
2654;Regissører;265;Profesjonelle kunstnere;26;Juridiske, samfunnsvitenskapelige og humanistiske yrker;2;Akademiske yrker;;;;;
2655;Skuespillere;265;Profesjonelle kunstnere;26;Juridiske, samfunnsvitenskapelige og humanistiske yrker;2;Akademiske yrker;;;;;
2656;Programledere i TV og radio;265;Profesjonelle kunstnere;26;Juridiske, samfunnsvitenskapelige og humanistiske yrker;2;Akademiske yrker;;;;;
2659;Andre utøvende kunstneriske yrker;265;Profesjonelle kunstnere;26;Juridiske, samfunnsvitenskapelige og humanistiske yrker;2;Akademiske yrker;;;;;
3112;Bygningsingeniører;311;Ingeniører;31;Ingeniører mv.;3;Høyskoleyrker;;;;;
3113;Elkraftingeniører;311;Ingeniører;31;Ingeniører mv.;3;Høyskoleyrker;;;;;
3114;Elektronikkingeniører;311;Ingeniører;31;Ingeniører mv.;3;Høyskoleyrker;;;;;
3115;Maskiningeniører;311;Ingeniører;31;Ingeniører mv.;3;Høyskoleyrker;;;;;
3116;Kjemiingeniører;311;Ingeniører;31;Ingeniører mv.;3;Høyskoleyrker;;;;;
3117;Ingeniører innen petroleum, bergverk og metallurgi;311;Ingeniører;31;Ingeniører mv.;3;Høyskoleyrker;;;;;
3118;Tekniske tegnere;311;Ingeniører;31;Ingeniører mv.;3;Høyskoleyrker;;;;;
3119;Andre ingeniører;311;Ingeniører;31;Ingeniører mv.;3;Høyskoleyrker;;;;;
3121;Arbeidsleder, bergfag;312;Arbeidsledere innen bergfag, industri, bygg og anlegg;31;Ingeniører mv.;3;Høyskoleyrker;;;;;
3122;Arbeidsleder, industri;312;Arbeidsledere innen bergfag, industri, bygg og anlegg;31;Ingeniører mv.;3;Høyskoleyrker;;;;;
3123;Arbeidsleder, bygg og anlegg;312;Arbeidsledere innen bergfag, industri, bygg og anlegg;31;Ingeniører mv.;3;Høyskoleyrker;;;;;
3131;Energikontrolloperatører;313;Prosesskontrollører;31;Ingeniører mv.;3;Høyskoleyrker;;;;;
3132;Kontrolloperatører ved forbrennings- kjøle- og vannrenseanlegg mv.;313;Prosesskontrollører;31;Ingeniører mv.;3;Høyskoleyrker;;;;;
3133;Kontrolloperatører innen kjemisk prosessindustri;313;Prosesskontrollører;31;Ingeniører mv.;3;Høyskoleyrker;;;;;
3134;Kontrolloperatører ved olje- og naturgassraffineringsanlegg;313;Prosesskontrollører;31;Ingeniører mv.;3;Høyskoleyrker;;;;;
3135;Kontrolloperatører innen metallproduksjon;313;Prosesskontrollører;31;Ingeniører mv.;3;Høyskoleyrker;;;;;
3139;Andre prosesskontrolloperatører;313;Prosesskontrollører;31;Ingeniører mv.;3;Høyskoleyrker;;;;;
3141;Bioteknikere (ikke-medisinske laboratorier);314;Bioteknikere mv.;31;Ingeniører mv.;3;Høyskoleyrker;;;;;
3142;Agroteknikere;314;Bioteknikere mv.;31;Ingeniører mv.;3;Høyskoleyrker;;;;;
3143;Skogteknikere;314;Bioteknikere mv.;31;Ingeniører mv.;3;Høyskoleyrker;;;;;
3151;Skipsmaskinister;315;Skipoffiserer, flygere, flygeledere mv.;31;Ingeniører mv.;3;Høyskoleyrker;;;;;
3152;Dekksoffiserer og loser;315;Skipoffiserer, flygere, flygeledere mv.;31;Ingeniører mv.;3;Høyskoleyrker;;;;;
3153;Flygere;315;Skipoffiserer, flygere, flygeledere mv.;31;Ingeniører mv.;3;Høyskoleyrker;;;;;
3154;Flygeledere;315;Skipoffiserer, flygere, flygeledere mv.;31;Ingeniører mv.;3;Høyskoleyrker;;;;;
3155;Teknikere innen luftfartssikkerhet;315;Skipoffiserer, flygere, flygeledere mv.;31;Ingeniører mv.;3;Høyskoleyrker;;;;;
3211;Radiografer mv.;321;Radiografer, proteseteknikere, reseptarer mv.;32;Helserelaterte yrker;3;Høyskoleyrker;;;;;
3212;Bioingeniører;321;Radiografer, proteseteknikere, reseptarer mv.;32;Helserelaterte yrker;3;Høyskoleyrker;;;;;
3213;Reseptarer;321;Radiografer, proteseteknikere, reseptarer mv.;32;Helserelaterte yrker;3;Høyskoleyrker;;;;;
3214;Protese- og tannteknikere;321;Radiografer, proteseteknikere, reseptarer mv.;32;Helserelaterte yrker;3;Høyskoleyrker;;;;;
3230;Yrker innen alternativ medisin;323;Yrker innen alternativ medisin;32;Helserelaterte yrker;3;Høyskoleyrker;;;;;
3240;Dyrepleiere;324;Dyrepleiere;32;Helserelaterte yrker;3;Høyskoleyrker;;;;;
3251;Tannpleiere;325;Andre helseyrker;32;Helserelaterte yrker;3;Høyskoleyrker;;;;;
3254;Optikere;325;Andre helseyrker;32;Helserelaterte yrker;3;Høyskoleyrker;;;;;
3256;Helsesekretærer;325;Andre helseyrker;32;Helserelaterte yrker;3;Høyskoleyrker;;;;;
3257;Helse- og miljøkontrollører;325;Andre helseyrker;32;Helserelaterte yrker;3;Høyskoleyrker;;;;;
3258;Ambulansepersonell;325;Andre helseyrker;32;Helserelaterte yrker;3;Høyskoleyrker;;;;;
3259;Andre helseyrker;325;Andre helseyrker;32;Helserelaterte yrker;3;Høyskoleyrker;;;;;
3311;Finansmeglere;331;Yrker innen finanstjenester;33;Medarbeidere innen økonomi, administrasjon og salg;3;Høyskoleyrker;;;;;
3312;Kundebehandlere lån og kreditt;331;Yrker innen finanstjenester;33;Medarbeidere innen økonomi, administrasjon og salg;3;Høyskoleyrker;;;;;
3313;Regnskapsførere;331;Yrker innen finanstjenester;33;Medarbeidere innen økonomi, administrasjon og salg;3;Høyskoleyrker;;;;;
3315;Takstmenn;331;Yrker innen finanstjenester;33;Medarbeidere innen økonomi, administrasjon og salg;3;Høyskoleyrker;;;;;
3321;Forsikringsagenter;332;Agenter og meglere;33;Medarbeidere innen økonomi, administrasjon og salg;3;Høyskoleyrker;;;;;
3322;Selgere (engros);332;Agenter og meglere;33;Medarbeidere innen økonomi, administrasjon og salg;3;Høyskoleyrker;;;;;
3323;Innkjøpere;332;Agenter og meglere;33;Medarbeidere innen økonomi, administrasjon og salg;3;Høyskoleyrker;;;;;
3324;Handels- og skipsmeglere;332;Agenter og meglere;33;Medarbeidere innen økonomi, administrasjon og salg;3;Høyskoleyrker;;;;;
3331;Speditører og befraktere;333;Forretningstjenesteyrker;33;Medarbeidere innen økonomi, administrasjon og salg;3;Høyskoleyrker;;;;;
3332;Konferanse- og arrangementsplanleggere mv.;333;Forretningstjenesteyrker;33;Medarbeidere innen økonomi, administrasjon og salg;3;Høyskoleyrker;;;;;
3333;Arbeidsformidlere;333;Forretningstjenesteyrker;33;Medarbeidere innen økonomi, administrasjon og salg;3;Høyskoleyrker;;;;;
3334;Eiendomsmeglere og - forvaltere;333;Forretningstjenesteyrker;33;Medarbeidere innen økonomi, administrasjon og salg;3;Høyskoleyrker;;;;;
3339;Andre yrker innen forretningstjenester;333;Forretningstjenesteyrker;33;Medarbeidere innen økonomi, administrasjon og salg;3;Høyskoleyrker;;;;;
3341;Arbeidsledere for kontorpersonell;334;Sekretærer og arbeidsledere for kontorpersonell;33;Medarbeidere innen økonomi, administrasjon og salg;3;Høyskoleyrker;;;;;
3342;Advokatsekretær;334;Sekretærer og arbeidsledere for kontorpersonell;33;Medarbeidere innen økonomi, administrasjon og salg;3;Høyskoleyrker;;;;;
3343;Sjefssekretærer;334;Sekretærer og arbeidsledere for kontorpersonell;33;Medarbeidere innen økonomi, administrasjon og salg;3;Høyskoleyrker;;;;;
3351;Tollere;335;Yrker innen offentlig forvaltning;33;Medarbeidere innen økonomi, administrasjon og salg;3;Høyskoleyrker;;;;;
3352;Skattefunksjonærer;335;Yrker innen offentlig forvaltning;33;Medarbeidere innen økonomi, administrasjon og salg;3;Høyskoleyrker;;;;;
3353;Saksbehandlere innen sosiale ytelser;335;Yrker innen offentlig forvaltning;33;Medarbeidere innen økonomi, administrasjon og salg;3;Høyskoleyrker;;;;;
3354;Saksbehandlere for førerkort, importlisenser mv.;335;Yrker innen offentlig forvaltning;33;Medarbeidere innen økonomi, administrasjon og salg;3;Høyskoleyrker;;;;;
3355;Politibetjenter mv.;335;Yrker innen offentlig forvaltning;33;Medarbeidere innen økonomi, administrasjon og salg;3;Høyskoleyrker;;;;;
3359;Andre yrker innen offentlig forvaltning;335;Yrker innen offentlig forvaltning;33;Medarbeidere innen økonomi, administrasjon og salg;3;Høyskoleyrker;;;;;
3411;Privatetterforskere mv.;341;Yrker innen sosialarbeid og kultur;34;Yrker innen kultur, idrett mv.;3;Høyskoleyrker;;;;;
3412;Miljøarbeidere innen sosiale fagfelt;341;Yrker innen sosialarbeid og kultur;34;Yrker innen kultur, idrett mv.;3;Høyskoleyrker;;;;;
3413;Religiøse yrker;341;Yrker innen sosialarbeid og kultur;34;Yrker innen kultur, idrett mv.;3;Høyskoleyrker;;;;;
3421;Idrettsutøvere;342;Yrker innen sport og idrett;34;Yrker innen kultur, idrett mv.;3;Høyskoleyrker;;;;;
3422;Trenere og idrettsdommere;342;Yrker innen sport og idrett;34;Yrker innen kultur, idrett mv.;3;Høyskoleyrker;;;;;
3423;Sports- og aktivitetsinstruktører;342;Yrker innen sport og idrett;34;Yrker innen kultur, idrett mv.;3;Høyskoleyrker;;;;;
3431;Fotografer og filmfotografer;343;Yrker innen estetiske fag;34;Yrker innen kultur, idrett mv.;3;Høyskoleyrker;;;;;
3432;Interiørdesignere og dekoratører;343;Yrker innen estetiske fag;34;Yrker innen kultur, idrett mv.;3;Høyskoleyrker;;;;;
3433;Tekniske konservatorer;343;Yrker innen estetiske fag;34;Yrker innen kultur, idrett mv.;3;Høyskoleyrker;;;;;
3434;Sjefskokker;343;Yrker innen estetiske fag;34;Yrker innen kultur, idrett mv.;3;Høyskoleyrker;;;;;
3439;Andre yrker innen estetiske fag;343;Yrker innen estetiske fag;34;Yrker innen kultur, idrett mv.;3;Høyskoleyrker;;;;;
3511;Driftsteknikere, IKT;351;Operatører og brukerstøtte, IKT;35;IKT-teknikere;3;Høyskoleyrker;;;;;
3512;Brukerstøtte, IKT;351;Operatører og brukerstøtte, IKT;35;IKT-teknikere;3;Høyskoleyrker;;;;;
3513;Nettverks- og systemteknikere, IKT;351;Operatører og brukerstøtte, IKT;35;IKT-teknikere;3;Høyskoleyrker;;;;;
3514;Internett-teknikere;351;Operatører og brukerstøtte, IKT;35;IKT-teknikere;3;Høyskoleyrker;;;;;
3521;Teknikere innen radio og tv;352;Teknikere innen kringkasting og telekom;35;IKT-teknikere;3;Høyskoleyrker;;;;;
3522;Teknikere innen telekom;352;Teknikere innen kringkasting og telekom;35;IKT-teknikere;3;Høyskoleyrker;;;;;
4110;Kontormedarbeidere;411;Kontormedarbeidere;41;Kontormedarbeidere;4;Kontoryrker;;;;;
